order_id,seller_state
e481f51cbdc54678b7cc49136f2d6af7,SP
53cdb2fc8bc7dce0b6741e2150273451,SP
47770eb9100c2d0c44946d9cf07ec65d,SP
949d5b44dbf5de918fe9c16f97b45f8a,MG
ad21c59c0840e6cb83a9ceb5573f8159,SP
a4591c265e18cb1dcee52889e2d8acc3,SP
136cce7faa42fdb2cefd53fdc79a6098,SP
6514b8ad8028c9f2cc2374ded245783f,SP
76c6e866289321a7c93b82b54852dc33,SP
e69bfb5eb88e0ed6a785585b27e16dbf,SP
e6ce16cb79ec1d90b1da9085a6118aeb,ES
34513ce0c4fab462a55830c0989c7edb,RS
82566a660a982b15fb86e904c8d32918,SP
5ff96c15d0b717ac6ad1f3d77225a350,SP
432aaf21d85167c2c86ec9448c4e42cc,SP
dcb36b511fcac050b97cd5c05de84dc3,DF
403b97836b0c04a622354cf531062e5f,SP
116f0b09343b49556bbad5f35bee0cdf,SP
85ce859fd6dc634de8d2f1e290444043,SP
83018ec114eee8641c97e08f7b4e926f,SP
203096f03d82e0dffbc41ebc2e2bcfb7,SP
f848643eec1d69395095eb3840d2051e,SP
2807d0e504d6d4894d41672727bc139f,SP
95266dbfb7e20354baba07964dac78d5,SP
f3e7c359154d965827355f39d6b1fdac,SP
fbf9ac61453ac646ce8ad9783d7d0af6,SP
acce194856392f074dbf9dada14d8d82,SP
dd78f560c270f1909639c11b925620ea,SP
91b2a010e1e45e6ba3d133fa997597be,SP
ecab90c9933c58908d3d6add7c6f5ae3,PR
f70a0aff17df5a6cdd9a7196128bd354,SP
1790eea0b567cf50911c057cf20f90f9,SP
989225ba6d0ebd5873335f7e01de2ae7,PR
d887b52c6516beb39e8cd44a5f8b60f7,SP
b276e4f8c0fb86bd82fce576f21713e0,SP
8563039e855156e48fccee4d611a3196,SP
60550084e6b4c0cb89a87df1f3e5ebd9,SP
5acce57f8d9dfd55fa48e212a641a69d,MG
434d158e96bdd6972ad6e6d73ddcfd22,PR
7206b86ea789983f7a273ea7fa0bc2a8,SP
1e7aff52cdbb2451ace09d0f848c3699,MG
6ea2f835b4556291ffdc53fa0b3b95e8,SC
948097deef559c742e7ce321e5e58919,SC
d22e9fa5731b9e30e8b27afcdc2f8563,SP
ee64d42b8cf066f35eac1cf57de1aa85,SP
6ebaec694d7025e2ad4a05dba887c032,ES
d17dc4a904426827ca80f2ccb3a6be56,SP
25f4376934e13d3508486352e11a5db0,SP
5820a1100976432c7968a52da59e9364,SP
2ce1ad82022c1ba30c2079502ac725aa,SC
138849fd84dff2fb4ca70a0a34c4aa1c,SP
47aa4816b27ba60ec948cd019cc1afc1,RS
9faeb9b2746b9d7526aef5acb08e2aa0,SP
641fb0752bf5b5940c376b3a8bb9dc52,SP
e425680f760cbc130be3e53a9773c584,SP
40c5e18f7d112b59b3e5113a59a905b3,RJ
734e7d1bbaeb2ff82521ca0fe6fb6f79,PR
66e4624ae69e7dc89bd50222b59f581f,SP
a685d016c8a26f71a0bb67821070e398,SP
2edfd6d1f0b4cd0db4bf37b1b224d855,PR
68873cf91053cd11e6b49a766db5af1a,SP
f346ad4ee8f630e5e4ddaf862a34e6dd,GO
8f06cc6465925031568537b815f1198d,SP
ccbabeb0b02433bd0fcbac46e70339f2,SP
688052146432ef8253587b930b01a06d,MG
f271576bed568e896f99eb710cd3a6f8,PR
686541986ecfb7d9296eb67719973bf0,DF
68e48e68da1f50f7c5838ea75e3a20dd,SP
b52cc4919de82b4d696a4380d10804a3,SP
fdf128b3630c21adc9ca4fb8a51b68ec,SP
a6aeb116d2cb5013eb8a94585b71ffef,SP
fa516182d28f96f5f5c651026b0749ee,SP
6abaad69b8b349c3a529b4b91ce18e46,RJ
974c1993ab8024d3ed16229183c2308d,RJ
82bce245b1c9148f8d19a55b9ff70644,SP
a910f58086d58b3ae6f37aa712d377b9,SP
bd4bd0194d6d29f83b8557d4b89b572a,SP
634e8f4c0f6744a626f77f39770ac6aa,PR
6d25592267349b322799e2beb687871e,SP
b8801cccd8068de30112e4f49903d74a,SP
2711a938db643b3f0b62ee2c8a2784aa,SP
3bc77ce8be27211bac313c2daa402d1a,MG
10c320f977c6a18f91b2d14be13128c6,SP
0a4a2fccb27bd83a892fa503987a595b,SP
e4de6d53ecff736bc68804b0b6e9f635,SP
6b860b35691d486e45dc98e3514ec5f6,SP
ec341c54a5ebf8ee0a67a8632aa7579b,SP
cadbb3657dac2dbbd5b84b12e7b78aad,PR
9defaf92cff22420e4e8ef7784815a55,SP
20e0101b20700188cadb288126949685,SP
0e782c3705510e717d28907746cbda82,SP
d3d6788577c9592da441752e8a1dd5e3,SP
86f21bf63784876b9fd6d35f46581d72,PR
8447ff843b2616c50c0ced28ab1dae03,SP
f169bd689fb8b32ccd62df9050aebc0b,SP
77e9941864fc840be8e4b1ba5347c0f7,SP
41bb5cee06dbf170878a9ef93ac7e7f5,SP
6a0a8bfbbe700284feb0845d95e0867f,SP
f7959f8385f34c4f645327465a1c9fc4,SP
23f553848a03aaab35bb3f9f87725125,SP
e3447938231fb6ba2fee0231b51eca59,SP
e346cd9299371b18c0b28e8e29a5e376,SP
a5474c0071dd5d1074e12d417078bbd0,SP
0760a852e4e9d89eb77bf631eaaf1c84,SP
bb7c5cf4dff9994daeab7c8ee9d287aa,SC
66d03fb3c4b0f80b5db04ef9c260336d,MG
a6cd683d4bd3b9b1f0aa37b27f8116d3,SP
bfe42c22ecbf90bc9f35cf591270b6a7,SP
e1da8361c76cab67aa3588a1fbf1af54,SP
af5b0604e113e1526593d505a26ef39d,SP
9d531c565e28c3e0d756192f84d8731f,SP
4da3bd761ca73d692ae0f5c252495546,RJ
80d817467dc3d0a4bb5ab8986c962b1f,MG
c75acba615d2db29345327974641467d,SP
210e60465099814a1d2c7635e4065153,SC
8fc207e94fa91a7649c5a5dab690272a,SP
4b3a605942f29d490cb74bd6ace6b9f0,RS
1c35ac660d7ef6691b25d20df3d6eccb,SP
01a75ac3dd000b7628a684be97c29234,SP
0c6b011f8a4f87010c23995f5807d152,SP
ee0c5c649e17808bc4a363d3a80ebf85,SP
f2fa3795760c35b8c05fa8e2f09d5143,SP
3923e3ade70348985bd2ca389905cf19,PR
e37797aedc7cd4ef82278fbc169eecaf,SP
35660aec0cc42b6257e24281ee0e6255,SP
b01875821b8dcb6abc61776f0f971bce,SP
5164933efe0cd14f31424b9badf81f19,SP
06a6627d9cc91a04e9d146bf65fee0a2,SP
15bed8e2fec7fdbadb186b57c46c92f2,SP
5447160f15621601fa9ba2b94f4906b3,SP
01855f880aae9a984c7c33b26fcf2e02,SP
65312c6e4ce03c0fb633a4ac541949d8,RJ
741fd1b80f015f170a7f458cf86769b8,SP
b16cec67cb3f5a4bb31abe8988b43d19,RJ
e6190dea235662449d160357e46eaec8,PR
8eeda294fab8a5ed70259afb59a10ff8,PR
89165e6d4c28047da0adf13ac8b3e1b3,SP
f376081d7c5f1767fbc7fae2d19ca32e,SP
4b87488fb6269f8321508923b95da4d6,MG
e9ce52cd563d0124dced659e69eab10a,SP
9344ccd01ff5fa7ec2aef0ee7e1c49c3,SP
f4471dae8c482f51aa1826cd9f5d4433,SP
aeb4c9d05ab11d7c6c9ca24f8c43bd70,MG
33a3edb84b9df4cb49546859b990ac6d,SP
9885fff91f7c807525f8320e5292a3db,SP
e7a65190baa4e6fd192246157c0b81fb,SP
62a12e4d2a742b2491d7c00d2d79bf52,SP
90349f264a3d6a2525a34598d09dda6b,SP
95cf9f239f724799131f7ca949209bd9,SP
04a59fe46fc5aa341da5378c195ed53c,SP
86b37610c0e86e94afe3d5ba4b73fa14,MG
5c2d1d55c31db1cbe069dc9b6454b897,SP
1d067305b599c1e0dceb3864056ea527,SC
abc5ec9ecaec740b498a37f19c29a8c0,SP
6942b8da583c2f9957e990d028607019,SP
c3cb4c7c4b963ab08b07a5dca5baf05d,SP
af66c46c49bdb3bf2f862efb1eb67d81,SP
14e6e050a57912543937e93051cc7b2c,RS
cefa8ee1540139ac77fa0c1b4ff1f04b,SP
265f4e28ef8cf69f8445e2951bbe7343,SP
34276839abbc2d596eb36540d36c624c,SP
556bbf53c2c22fbb9ef31a414dd444a6,MG
36530871a5e80138db53bcfd8a104d90,SP
b2bd1f09c1b8a4a36940f6f6e49d5dec,SP
e69e2290db6b2d3b7593a40112e1a82a,SP
c8627adf430caff83161acbeb344d8f5,PR
1370fae9b19ee5e01a2d609eb18b7c8a,SP
a7cd6af6e0519313887b3c3a120f20ca,SP
663830a477534735bbdec9de01113fa2,PR
b2f3763408103bc7173bb36ed02dbeea,PR
0dad6beca7ed0e352668498c29089900,SP
93ec3e2c9a4beee38c28973d307093e1,SP
5561adcb0fd46da4cad3048fa4e7fc00,SP
6245ae0abd9de1ae647b5da78c0ea69b,SP
ce9feeba53c652dd6569cca62e2bb287,SP
565923f847aad52e7638eb189cce3b51,DF
36ebb4199031e72a1fa964549b88c377,PR
232b75e8b6faa6ca2063184414e634a7,SP
ee990334acb0ff9333b01afa465f3006,PR
780fe22baa36991bdbb1559f5b549596,SP
